Team,Matches,Wins,Draws,Losses,WinRate,GoalsFor,GoalsAgainst,GoalDiff,AvgGoalsScored,AvgGoalsConceded,HomeWinRate,AwayWinRate
Man United,662,415,132,115,0.6268882175226587,1255,583,672,1.8957703927492446,0.8806646525679759,0.7190332326283988,0.5347432024169184
Chelsea,662,402,147,113,0.6072507552870091,1237,570,667,1.8685800604229608,0.8610271903323263,0.6837349397590361,0.5303030303030303
Arsenal,662,382,157,123,0.5770392749244713,1266,668,598,1.9123867069486404,1.0090634441087614,0.6837349397590361,0.4696969696969697
Liverpool,662,349,165,148,0.527190332326284,1153,650,503,1.741691842900302,0.9818731117824774,0.6181818181818182,0.4367469879518072
Man City,624,312,136,176,0.5,1097,685,412,1.7580128205128205,1.0977564102564104,0.6089743589743589,0.391025641025641
Tottenham,662,312,157,193,0.47129909365558914,1037,794,243,1.566465256797583,1.1993957703927491,0.5866261398176292,0.35735735735735735
Leeds,114,46,29,39,0.40350877192982454,157,159,-2,1.3771929824561404,1.394736842105263,0.43859649122807015,0.3684210526315789
Everton,662,254,193,215,0.38368580060422963,889,813,76,1.3429003021148036,1.2280966767371602,0.5060240963855421,0.2606060606060606
Ipswich,76,29,15,32,0.3815789473684211,98,106,-8,1.2894736842105263,1.394736842105263,0.4473684210526316,0.3157894736842105
Newcastle,586,194,152,240,0.3310580204778157,723,844,-121,1.233788395904437,1.4402730375426622,0.4387755102040816,0.2226027397260274
Blackburn,380,124,98,158,0.3263157894736842,466,549,-83,1.2263157894736842,1.444736842105263,0.4052631578947368,0.24736842105263157
Bolton,380,122,96,162,0.32105263157894737,454,562,-108,1.194736842105263,1.4789473684210526,0.3894736842105263,0.25263157894736843
West Ham,548,174,140,234,0.3175182481751825,666,811,-145,1.2153284671532847,1.47992700729927,0.41818181818181815,0.21611721611721613
Leicester,282,89,77,116,0.31560283687943264,356,414,-58,1.2624113475177305,1.4680851063829787,0.3900709219858156,0.24113475177304963
Bournemouth,130,41,32,57,0.3153846153846154,170,221,-51,1.3076923076923077,1.7,0.3787878787878788,0.25
